Summary,Precip Type,Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars),month,year,day,hour
Overcast,1,0.043604678,0.194311089,0.000298697,-1.627405443,-0.887817327,-0.529686812,1.374236723,-0.584552069,-1.450599302,0.515227287
Overcast,1,0.061413411,0.0194862,-1.044281504,-0.902469646,-0.824488924,-0.562469819,1.374236723,-0.584552069,-1.450599302,0.64335563
Overcast,1,0.061413411,0.631373313,-1.588333692,-1.627405443,-0.919481529,-0.551165334,1.374236723,-0.584552069,-1.450599302,0.771483974
Overcast,1,-0.076782355,1.155847981,-1.40879647,0.03994689,-0.903649428,-0.550034886,1.374236723,-0.584552069,-1.450599302,0.899612317
Foggy,1,-0.081056451,1.243260426,-0.77225541,-0.177533849,-1.014474133,-0.573774304,1.374236723,-0.584552069,-1.450599302,1.02774066
Foggy,1,-0.00982152,0.631373313,-1.044281504,0.094317075,-1.014474133,-0.596383274,1.374236723,-0.584552069,-1.450599302,1.155869004
Foggy,1,-0.076782355,0.631373313,-1.063323331,0.837376267,-1.14746378,-0.596383274,1.374236723,-0.584552069,-1.450599302,1.283997347
Foggy,1,-0.081056451,0.893610647,-1.588333692,-1.627405443,-1.267787746,-0.63029673,1.374236723,-0.584552069,-1.450599302,1.412125691
Overcast,1,-0.508466037,-0.067926245,0.859901154,-0.449384773,0.347086536,-0.901604372,1.374236723,-0.584552069,1.519377701,1.540254034
Overcast,1,-0.508466037,-0.067926245,0.859901154,-0.268150824,0.347086536,-1.172912014,1.374236723,-0.584552069,1.633607586,-1.150441177
Overcast,1,-0.492794352,0.281723534,1.221695859,-0.259089127,0.695392754,-1.281435071,1.374236723,-0.584552069,1.633607586,-1.022312834
Overcast,1,-0.508466037,0.893610647,0.58787506,-0.086916875,0.600400149,-1.376392746,1.374236723,-0.584552069,1.633607586,-0.89418449
Overcast,1,-0.365996175,0.281723534,0.043822872,-0.177533849,-0.032883883,-1.421610686,1.374236723,-0.584552069,1.633607586,-0.766056147
Overcast,1,-0.357447983,0.369135979,0.408337838,0.0037001,-0.295696757,-1.379784091,1.374236723,-0.584552069,1.633607586,-0.637927804
Overcast,1,-0.081056451,0.0194862,0.58787506,-0.086916875,-0.032883883,-1.500742082,1.374236723,-0.584552069,1.633607586,-0.12541443
Overcast,1,0.061413411,0.0194862,0.58787506,-0.177533849,-0.222869093,-1.557264507,1.374236723,-0.584552069,1.633607586,0.002713913
Overcast,1,0.065687507,0.631373313,0.503546971,-0.231904034,-0.590173832,-1.639787248,1.374236723,-0.584552069,1.633607586,0.130842257
Overcast,1,0.132648342,0.281723534,0.315848966,-0.177533849,-0.634503714,-1.726831783,1.374236723,-0.584552069,1.633607586,0.2589706
Overcast,1,0.150457075,0.893610647,0.337611053,-0.250027429,-0.75166126,-1.824050355,1.374236723,-0.584552069,1.633607586,0.515227287
Overcast,1,0.132648342,0.893610647,0.859901154,-0.177533849,-0.824488924,-1.89639906,1.374236723,-0.584552069,1.633607586,0.64335563
Overcast,1,0.297201032,0.631373313,-0.677046277,-0.005361598,-0.36852442,-2.249098995,1.374236723,-0.584552069,1.74783747,-1.406697864
Foggy,1,-0.081056451,0.631373313,0.043822872,-1.446171494,-1.457772956,-2.099879791,1.374236723,-0.584552069,1.74783747,-0.50979946
Foggy,1,0.061413411,1.243260426,-1.316307598,-0.268150824,-1.172795141,-2.043357366,1.374236723,-0.584552069,1.74783747,-0.381671117
Overcast,1,0.560057928,0.0194862,0.043822872,-0.177533849,-0.412854303,-2.258142583,1.374236723,-0.584552069,1.74783747,0.2589706
Foggy,1,-0.081056451,0.893610647,-1.588333692,-1.627405443,-1.584429762,-0.6529057,1.374236723,-0.584552069,-1.450599302,1.540254034
Foggy,1,0.061413411,0.893610647,-0.500229316,-1.627405443,-1.236123545,-0.6529057,1.374236723,-0.584552069,-1.336369417,-1.406697864
Foggy,1,-0.081056451,0.893610647,-1.044281504,-0.268150824,-1.584429762,-0.732037095,1.374236723,-0.584552069,-1.336369417,-1.278569521
Foggy,1,-0.081056451,0.893610647,-1.044281504,-0.177533849,-1.362780351,-0.754646066,1.374236723,-0.584552069,-1.336369417,-1.150441177
Foggy,1,-0.081056451,0.893610647,-0.51111036,-0.168472152,-1.315284049,-0.733167544,1.374236723,-0.584552069,-1.336369417,-1.022312834
Foggy,1,-0.081056451,1.243260426,-1.044281504,-0.177533849,-1.109466738,-0.799864006,1.374236723,-0.584552069,-1.336369417,-0.89418449
Foggy,1,-0.081056451,1.243260426,0.043822872,-0.358767799,-1.109466738,-0.845081946,1.374236723,-0.584552069,-1.336369417,-0.766056147
Foggy,1,-0.081056451,0.631373313,-0.628081581,-0.322521009,-1.305784788,-0.841690601,1.374236723,-0.584552069,-1.336369417,-0.637927804
Foggy,1,-0.081056451,0.631373313,-0.77225541,-0.177533849,-1.362780351,-0.822472976,1.374236723,-0.584552069,-1.336369417,-0.50979946
Foggy,1,-0.081056451,0.631373313,0.043822872,-0.268150824,-1.362780351,-0.845081946,1.374236723,-0.584552069,-1.336369417,-0.381671117
Foggy,1,0.043604678,0.106898644,-0.146595394,-0.286274219,-1.255122066,-0.822472976,1.374236723,-0.584552069,-1.336369417,-0.253542773
Foggy,1,0.061413411,0.0194862,-0.228203222,-0.358767799,-1.109466738,-0.833777461,1.374236723,-0.584552069,-1.336369417,-0.12541443
Overcast,1,0.061413411,0.0194862,-0.77225541,-0.449384773,-0.634503714,-0.901604372,1.374236723,-0.584552069,-1.336369417,0.002713913
Overcast,1,0.067824555,0.106898644,-1.066043592,-0.739359092,-0.533178269,-0.927604688,1.374236723,-0.584552069,-1.336369417,0.130842257
Overcast,1,0.061413411,0.631373313,-0.77225541,-1.17432057,-0.634503714,-0.969431282,1.374236723,-0.584552069,-1.336369417,0.2589706
Overcast,1,0.132648342,0.281723534,-1.588333692,-1.627405443,-0.634503714,-0.946822312,1.374236723,-0.584552069,-1.336369417,0.387098943
Overcast,1,0.063550459,0.631373313,-1.514886647,0.819252872,-0.789658302,-0.938909173,1.374236723,-0.584552069,-1.336369417,0.515227287
Overcast,1,0.059276363,0.718785758,-0.290769224,1.507941879,-0.849820285,-0.822472976,1.374236723,-0.584552069,-1.336369417,0.899612317
Overcast,1,0.061413411,0.631373313,-1.044281504,1.453571694,-0.824488924,-0.799864006,1.374236723,-0.584552069,-1.336369417,1.02774066
Overcast,1,0.061413411,0.631373313,-1.044281504,1.544188669,-0.919481529,-0.743341581,1.374236723,-0.584552069,-1.336369417,1.155869004
Overcast,1,0.059276363,0.718785758,-0.883786109,1.372016417,-0.928980789,-0.708297677,1.374236723,-0.584552069,-1.336369417,1.283997347
Foggy,1,0.061413411,0.631373313,-0.500229316,1.362954719,-1.014474133,-0.664210185,1.374236723,-0.584552069,-1.336369417,1.412125691
Foggy,1,0.061413411,0.631373313,-0.500229316,1.453571694,-1.172795141,-0.664210185,1.374236723,-0.584552069,-1.336369417,1.540254034
Foggy,1,0.061413411,0.893610647,-0.500229316,-1.627405443,-1.172795141,-0.618992245,1.374236723,-0.584552069,-1.222139532,-1.278569521
Foggy,1,0.061413411,0.893610647,-0.500229316,1.544188669,-1.236123545,-0.585078789,1.374236723,-0.584552069,-1.222139532,-1.150441177
Overcast,1,0.061413411,0.631373313,0.291366617,1.517003576,-0.979643512,-0.531947709,1.374236723,-0.584552069,-1.222139532,-1.022312834
Foggy,1,0.061413411,0.631373313,0.043822872,-1.627405443,-1.014474133,-0.517251879,1.374236723,-0.584552069,-1.222139532,-0.89418449
Foggy,1,0.055002267,0.718785758,0.062864698,-1.573035259,-1.087301797,-0.394032991,1.374236723,-0.584552069,-1.222139532,-0.637927804
Foggy,1,0.061413411,0.631373313,-0.228203222,1.272337745,-1.236123545,-0.347684602,1.374236723,-0.584552069,-1.222139532,-0.50979946
Foggy,1,0.061413411,0.631373313,0.043822872,1.272337745,-1.014474133,-0.291162177,1.374236723,-0.584552069,-1.222139532,-0.381671117
Foggy,1,0.063550459,0.631373313,0.557952189,1.390139812,-0.985976352,-0.236900649,1.374236723,-0.584552069,-1.222139532,-0.253542773
Overcast,1,0.061413411,0.0194862,0.315848966,1.272337745,-0.824488924,-0.166812841,1.374236723,-0.584552069,-1.222139532,0.002713913
Overcast,1,0.059276363,-0.504988469,0.226080355,1.082042098,-0.713664218,-0.035680814,1.374236723,-0.584552069,-1.222139532,0.515227287
Overcast,1,-0.081056451,0.0194862,0.043822872,1.000486821,-0.634503714,0.036667891,1.374236723,-0.584552069,-1.222139532,0.64335563
Overcast,1,-0.081056451,0.0194862,-0.77225541,1.000486821,-0.412854303,0.081885831,1.374236723,-0.584552069,-1.222139532,0.771483974
Overcast,1,-0.078919403,0.0194862,-0.228203222,1.100165493,-0.36852442,0.132756014,1.374236723,-0.584552069,-1.222139532,0.899612317
Overcast,1,-0.081056451,0.0194862,-0.77225541,1.272337745,-0.032883883,0.183626197,1.374236723,-0.584552069,-1.222139532,1.02774066
Overcast,1,-0.223526313,0.281723534,-1.588333692,-1.627405443,-0.032883883,0.206235167,1.374236723,-0.584552069,-1.222139532,1.155869004
Overcast,1,-0.388791353,0.806198202,-0.535592709,1.10922719,-0.393855782,0.224322343,1.374236723,-0.584552069,-1.222139532,1.283997347
Clear,1,-0.437231106,0.543960868,-0.500229316,0.819252872,-1.616093964,0.262757592,1.374236723,-0.584552069,-1.222139532,1.412125691
Clear,1,-0.437231106,0.893610647,-1.044281504,1.091103796,-1.616093964,0.274062078,1.374236723,-0.584552069,-1.222139532,1.540254034
Overcast,1,-0.466437428,0.806198202,-0.59815871,1.18172077,-0.821322504,0.202843821,1.374236723,-0.584552069,-1.107909648,-1.406697864
Foggy,1,-0.508466037,0.543960868,-1.588333692,-1.627405443,-1.489437158,0.285366563,1.374236723,-0.584552069,-1.107909648,-1.278569521
